Metabolite_name,blank_01,blank_02,blank_03,blank_04,Cultures_QC_01,Cultures_QC_02,POS_BDS_EC_IPLs,POS_Cultures_Pooled_QC_01,POS_Cultures_Pooled_QC_02,POS_Cultures_Pooled_QC_03,POS_Cultures_Pooled_QC_04,POS_Cultures_Pooled_QC_05,POS_Cultures_Pooled_QC_06,POS_u_DA_IPLs,POS_u_EC_IPLs,POS_u_H_IPLs,POS_u_S_IPLs,POS_u2_EC_IPLs,POS_u2_y_IPLs
Unknown,441,446,286,0,3530,3160,4715,2967,3104,3576,4166,272,3499,250,5195,346,124,12875,284
Unknown,147,100,196,0,382,583,55,300,184,452,359,0,313,132,134,175,18488,175,94
Unknown,53,57,52,0,1874,2062,59,1819,1572,2318,1985,0,2400,68,57,56,12615,0,84
Unknown,51,82,90,0,1558,1584,7202,1262,1430,1266,1541,0,1532,82,602,57,150,230,109
Unknown,57,226,170,0,2513,2670,10475,2669,3185,3171,2808,163,2966,58,4714,500,400,4752,154
Unknown,0,52,52,0,975,1522,10804,1299,1533,1638,2050,83,1157,0,54,113,435,439,101
Unknown,0,0,0,0,3116,3672,0,2970,3340,3751,3394,68,3792,0,0,19264,0,0,0
Unknown,0,0,0,0,2256,3172,0,2670,2984,3379,3666,0,3450,0,0,24774,0,0,0
Unknown,194,74,58,0,2352,2280,112,2072,2152,2067,2121,221,2328,60,167,211,9873,116,202
Unknown,0,67,54,0,2954,3544,2272,3189,4137,4056,3949,100,3454,55,7025,404,271,22956,110
Unknown,252,111,226,0,1128,1390,124,1282,1052,908,1146,90,1277,87,716,305,17072,719,285
Unknown,14403,22729,25294,0,26920,31653,29839,22726,30174,30688,29096,30728,30054,31102,30064,30075,30714,30231,29654
Unknown,58,58,60,0,8359,10670,252,9859,10654,10468,11330,88,10733,120,83,226,23848,167,85
w/o MS2:NAOrn 8:0,246,162,202,0,864,1087,152,718,1104,698,734,0,433,280,116,219,14167,164,210
Unknown,229,332,209,0,10699,8915,164,8916,8953,8526,8910,207,8062,353,18302,836,290,13164,18632
Unknown,74,64,0,0,6468,8253,975,6136,7784,8496,8542,97,8451,55,809,14363,113,317,9502
Unknown,57,68,53,0,4079,3952,94,3272,4033,3861,4102,54,4148,95,6811,2380,2654,5350,516
Unknown,81,135,87,0,2010,1621,203,1407,1923,1795,1959,82,1749,0,307,438,5996,135,539
w/o MS2:NAOrn 8:0;O,73,66,53,0,6676,8164,160,6905,7505,7530,7710,95,8008,63,58,95,22311,82,134
Unknown,168,172,84,0,32690,29815,122,30850,34044,33544,33377,496,30596,53,62,225,139606,274,158
Unknown,217,81,293,0,4129,4466,241,5558,4588,4750,4961,56,5338,89,169,52,11894,228,212
Unknown,214,112,62,0,31930,37649,396,36721,36275,38766,37522,0,37403,54,171,609,188536,251,254
w/o MS2:Triphenylphosphine oxide (also known as chemical regent),227,189,87,0,3235,3359,24001,3525,4193,3642,4106,186,3562,243,134,218,514,415,229
w/o MS2:RIKEN P-VS1 ID-965 from Mouse_Feces_WT_N_Ctr,393,269,202,0,3012,4234,459,3544,4093,3996,4470,71,3785,276,288,461,24850,274,273
w/o MS2:RIKEN P-VS1 ID-965 from Mouse_Feces_WT_N_Ctr,212,189,184,0,11597,15444,108,12822,14601,13394,14937,0,16336,71,454,592,81067,376,330
w/o MS2:RIKEN P-VS1 ID-965 from Mouse_Feces_WT_N_Ctr,216,266,309,0,11613,15907,229,15323,14601,16518,15639,55,16336,226,235,592,81067,288,426
Unknown,219,304,242,0,212,196,177,98,153,127,185,53,59,242,455,262,7699,447,285
Unknown,0,66,0,0,5195,5670,0,5399,5628,5878,5670,0,5293,0,0,13030,61,0,0
Unknown,2225,1768,1798,0,2333,1502,15295,1997,1741,1451,1609,1381,1504,5682,1781,1852,1616,2156,1911
Unknown,159,107,130,0,748,712,6230,852,761,906,822,55,486,135,60,110,264,131,57
Unknown,152,52,61,0,9335,9680,117,9074,8672,9474,9585,66,9560,96,144,164,41543,0,172
Unknown,0,0,0,0,7770,5654,58,4813,5468,5389,6187,72,5221,0,11927,332,1245,8936,15024
Unknown,243,243,186,0,8073,6490,4649,5401,5502,4831,5452,69,5234,428,489,502,2328,750,883
Unknown,142,62,152,0,17496,19003,192,18701,18057,18722,19049,82,18292,107,203,320,85971,143,242
Unknown,92,0,0,0,1215,734,394,626,447,866,692,0,706,0,10830,3058,406,7245,3321
Unknown,234,62,173,0,6653,5858,936,6169,6067,6110,6337,86,6137,114,669,1516,22545,743,1316
Unknown,2137,4448,5536,0,5950,5924,6017,4055,4700,5420,6008,6065,6084,5693,6002,6309,6767,6029,6046
Unknown,306,187,242,0,8679,9347,4881,8361,7298,6426,7280,94,7048,398,273,289,2067,313,326
Unknown,226,206,217,0,808,684,366,707,765,881,909,114,845,133,3283,909,20733,2565,1304
Unknown,70,77,0,0,3391,2871,0,2400,2707,2660,2680,56,3490,70,70,84,13008,127,79
Unknown,339,206,284,0,29592,28491,1760,25675,28643,30311,28167,175,27472,277,1849,954,10176,1509,72083
Unknown,165,90,132,0,3218,3386,152,3270,3469,3084,3584,60,3487,115,149,318,17103,89,147
w/o MS2:NAGly 16:3,93,66,57,0,7527,9438,132,8737,9532,9119,9273,0,9662,55,94,189,49721,0,265
w/o MS2:NAGly 16:3,66,66,0,0,9248,7884,132,8737,8156,8100,9273,177,9130,0,58,98,49721,102,925
Unknown,188,67,61,0,5889,5552,190,5364,5714,5414,5555,92,5504,96,186,193,25358,194,262
Unknown,174,106,245,0,2673,2255,90,2286,2691,2957,2763,74,2732,52,158,806,14661,356,100
w/o MS2:RIKEN P-VS1 ID-1305 from Blank,362,266,78,0,16616,1697,8354,2383,2203,2000,1788,1796,1638,6862,8131,8782,7345,6342,10725
w/o MS2:Benzyl butyl phthalate (also known as chemical regent),64,0,63,0,6122,6862,4886,5813,7388,7046,7014,0,6999,309,347,375,409,521,346
Unknown,314,0,182,0,13233,7965,146,6333,6096,7339,7966,67,7666,4588,7241,8991,7843,7163,8800
Unknown,103,150,60,0,2825,1737,0,1536,1606,1648,1977,59,1645,75,63,55,17885,80,70
Unknown,115,74,150,0,1276,627,0,566,414,557,634,0,575,96,63,0,7027,0,94
Unknown,109,150,57,0,663,1024,148,556,1164,900,675,0,971,228,138,89,32651,151,85
Unknown,212,119,57,0,7714,6965,751,6517,5579,5635,5697,0,6092,484,1507,86,2361,1623,170
Unknown,0,0,0,0,6095,7028,1909,6366,6785,6983,7677,124,6992,56,6100,209,4205,4509,1189
Unknown,0,0,52,0,3969,3333,0,2742,3098,3233,3597,0,3209,0,5221,85,294,3349,8087
Unknown,307,209,326,0,1857,1782,8089,1821,1675,1544,1616,0,1621,247,842,229,121,461,253
Unknown,0,72,68,0,2496,2547,60,2031,2408,2210,2179,0,2380,74,87,94,19318,173,57
Unknown,135,125,177,0,9326,11155,487,10164,10730,11349,10986,0,10881,112,264,436,53632,240,137
Unknown,0,0,0,0,17592,14917,53,14650,14671,14902,15394,121,14489,0,28009,1309,125,17277,32524
w/o MS2:CoQ2,284,207,308,0,801,1048,157,1344,1303,1040,978,107,869,302,150,182,10414,257,313
Unknown,82,154,71,0,2354,3369,418,3007,2612,3383,3060,57,3264,148,77,378,14850,156,66
Unknown,0,57,66,0,5814,8546,213,7076,8167,7997,8802,67,8481,59,15554,1652,3764,17602,9474
Unknown,0,69,0,0,5800,7907,80,5435,5197,5111,5136,72,4954,68,12906,2192,4370,9874,10827
Unknown,0,0,0,0,6026,5675,68,5221,5341,4995,5432,0,5677,0,57,17267,158,64,56
RIKEN P-VS1 ID-1478 from Mouse_Aorta_WT_N_Ctr,212,168,132,0,15084,11993,2838,11685,10123,10190,10866,99,11940,248,0,175,79,293,132
